ord freq form
1 29053.28 amp
2 24125.00 ،
3 19600.21 في
4 17939.08 من
5 8954.07 على
6 8523.39 أن
7 5445.48 quot
8 5267.30 و
9 4484.17 عن
10 4349.28 م
11 4300.99 إلى
12 4300.75 ل
13 4148.60 ه
14 4098.12 لا
15 4032.20 ت
16 3951.65 ما
17 3904.50 كان
18 3862.62 أ
19 3442.84 هو
20 3432.02 الله
21 3316.88 مع
22 3298.51 هذا
23 3204.01 عل
24 3178.37 أو
25 2972.22 قد
26 2964.77 ذل
27 2831.91 لم
28 2817.28 قال
29 2753.90 كل
30 2648.71 ك
31 2612.05 ان
32 2568.62 ‏
33 2557.43 هذه
34 2533.06 بعد
35 2476.36 ا
36 2380.46 الذي
37 2173.39 ي
38 2097.19 عمل
39 2062.24 ؟
40 2016.00 د
41 2013.22 ع
42 1985.41 إن
43 1850.77 ين
44 1757.26 غير
45 1684.61 ن
46 1651.86 بن
47 1601.00 هذ
48 1485.36 دول
49 1478.42 الى
50 1455.76 ف
51 1417.38 عليا
52 1394.25 نفس
53 1339.94 لهاة
54 1331.46 هم
55 1320.89 ذ
56 1293.33 كما
57 1255.10 ‌
58 1235.85 حتى
59 1177.27 قبل
60 1146.62 عالم
61 1137.51 إل
62 1137.43 قول
63 1132.05 فى
64 1110.71 رئيس
65 1091.42 بعض
66 1090.30 كن
67 1083.80 ال
68 1044.31 ب
69 1042.35 حال
70 1008.72 أم
71 978.36 أب
72 973.06 أي
73 970.98 ثم
74 952.50 عند
75 943.88 علم
76 938.16 عد
77 920.19 إذا
78 910.24 مثال
79 906.58 محمد
80 882.29 إ
81 866.60 حيث
82 865.33 يا
83 836.75 ر
84 835.23 إلا
85 830.87 تم
86 818.72 خلال
87 816.98 هل
88 810.29 وم
89 802.25 طريق
90 801.27 عامة
91 794.93 هناك
92 788.75 ناس
93 787.41 ح
94 785.13 عرب
95 763.73 شخص
96 754.13 ابن
97 748.65 أكثر
98 746.45 لو
99 740.94 أول
100 729.55 س
101 729.31 عابد
102 726.31 مصر
103 698.02 تل
104 697.89 نظر
105 678.15 حديث
106 677.80 قو
107 662.08 أمر
108 661.93 حق
109 658.39 ذكر
110 656.89 لهوة
111 654.95 جميع
112 654.34 بل
113 645.17 تاريخ
114 643.63 تك
115 639.26 أخرى
116 637.30 لكن
117 620.90 رسول
118 620.73 منطق
119 619.70 شكل
120 619.38 ليس
121 611.14 موضوع
122 611.08 او
123 610.99 كتاب
124 609.51 apos
125 601.85 إذ
126 591.44 عدم
127 590.73 سلم
128 587.20 نسب
129 581.22 حقيق
130 575.68 مجلس
131 573.80 خاص
132 573.77 صور
133 572.96 قل
134 572.22 شيء
135 567.24 مر
136 559.85 شرك
137 557.33 عندما
138 557.26 مك
139 554.67 حدث
140 551.99 قدر
141 549.43 أهل
142 547.79 رمل
143 543.14 رجل
144 542.50 جب
145 537.66 مال
146 535.66 اليوم
147 531.06 رد
148 530.02 عراق
149 528.39 كثير
150 524.19 واحد
151 516.36 صلى
152 516.20 ؛
153 512.92 سبب
154 512.75 ج
155 511.03 حكومة
156 510.05 العام
157 509.28 دور
158 504.98 نظام
159 504.84 صل
160 501.13 داخل
161 501.08 مجتمع
162 496.10 بلد
163 494.31 أما
164 493.77 إسرائيل
165 491.53 شعر
166 490.22 خارج
167 489.26 العراق
168 485.05 دون
169 480.69 قوم
170 477.90 كاتب
171 477.05 حد
172 476.18 اجتماع
173 476.01 منه
174 475.63 آخر
175 471.53 جديد
176 471.35 السلام
177 469.80 فلسطين
178 469.26 جه
179 469.24 ماذ
180 468.75 عام
181 467.61 يس
182 467.24 عرف
183 465.90 جن
184 457.67 صف
185 456.18 قان
186 456.12 كبير
187 456.12 جمع
188 455.74 ق
189 452.00 ص
190 450.57 زوج
191 446.94 تعليق
