ord|freq|form
1|65545.55|de
2|41148.59|la
3|30688.85|que 
4|29953.48|el
5|27755.16|en
6|27401.19|y
7|21375.03|a
8|17164.95|los
9|13257.31|se
10|12173.87|del
11|11056.37|las
12|10879.95|un
13|10238.07|por
14|9711.74|con 
15|9606.18|no
16|8833.36|una 
17|7234.06|su
18|6962.26|para
19|6683.79|es
20|6234.03|al
21|5682.77|lo
22|5069.96|como 
23|4337.33|más 
24|3554.6|o
25|2953.04|pero
26|2948.84|sus 
27|2708.74|le
28|2493.07|ha
29|2453.93|me 
30|2146.58|si
31|1955.86|sin
32|1898.97|sobre
33|1871.16|este
34|1797.19|ya
35|1753.38|entre
36|1686.38|cuando 
37|1621.28|todo
38|1565.57|esta
39|1526.78|ser
40|1523.45|son 
41|1497.38|dos 
42|1490.64|también 
43|1466.92|fue
44|1464.55|había
45|1441.63|era
46|1366.95|muy 
47|1330.81|años 
48|1330.21|hasta
49|1302.1|desde 
50|1272.74|está
51|1221.56|mi
52|1217.23|porque 
53|1212.36|qué 
54|1117.94|sólo
55|1112.47|han 
56|1099.14|yo
57|1081.16|hay 
58|1071.97|vez
59|1056.76|puede 
60|1036.77|todos
61|1020.23|así
62|1012.15|nos 
63|1005.85|ni
64|975.03|parte
65|965.36|tiene
66|911.65|él
67|891.59|uno 
68|865.74|donde 
69|858.4|bien
70|858.0|tiempo 
71|857.02|mismo  
72|838.86|ese 
73|823.69|ahora
74|816.46|cada 
75|811.02|e
76|809.46|vida
77|799.58|otro
78|798.02|después 
79|786.92|te
80|783.3|otros
81|757.45|aunque 
82|756.28|esa 
83|750.68|eso 
84|750.57|hace 
85|747.13|otra
86|740.77|gobierno
87|737.23|tan
88|734.27|durante
89|731.24|siempre 
90|727.07|día
91|725.48|tanto
92|725.09|ella
93|718.03|tres
94|712.06|sí
95|711.01|dijo
96|703.67|sido
97|701.31|gran
98|685.42|país
99|683.04|según 
100|678.41|menos  
101|666.92|mundo  
102|660.66|año 
103|660.47|antes
104|660.44|estado 
105|658.12|contra
106|643.32|sino
107|636.9|forma
108|635.68|caso 
109|631.49|nada 
110|629.68|hacer
111|627.74|general
112|613.58|estaba 
113|604.39|poco 
114|599.1|estos
115|598.78|presidente
116|591.02|mayor 
117|576.76|ante
118|568.61|unos 
119|566.09|les
120|563.71|algo
121|557.96|hacia
122|557.58|casa 
123|554.77|ellos
124|552.64|ayer
125|549.94|hecho 
126|546.85|primera
127|545.62|mucho  
128|541.62|mientras
129|541.27|además  
130|541.13|quien
131|538.36|momento  
132|537.49|millones
133|537.36|esto
134|525.66|españa 
135|525.38|hombre 
136|523.36|están
137|522.04|pues 
138|514.41|hoy 
139|512.91|lugar
140|510.21|madrid 
141|508.27|nacional
142|507.85|trabajo
143|507.53|otras
144|506.78|mejor
145|506.44|nuevo 
146|503.85|decir
147|498.87|algunos 
148|496.24|entonces 
149|495.0|todas
150|492.55|días
151|486.56|debe 
152|481.54|política
153|479.16|cómo 
154|478.27|casi
155|473.57|toda
156|468.14|tal
157|462.26|luego
158|462.01|pasado 
159|458.3|primer
160|454.07|medio 
161|452.92|va
162|452.75|estas
163|451.76|sea 
164|439.78|tenía
165|438.77|nunca 
166|438.52|poder
167|438.0|aquí
168|435.76|ver
169|435.51|veces 
170|433.38|embargo 
171|429.29|partido
172|428.75|personas 
173|428.62|grupo
174|428.47|cuenta 
175|418.78|pueden 
176|417.23|tienen
177|415.98|misma  
178|415.75|nueva 
179|408.42|cual
180|407.84|fueron
181|405.98|mujer
182|402.92|frente
183|400.37|josé
184|393.71|tras
185|390.53|cosas 
186|387.44|fin
187|387.05|ciudad
188|386.5|he
189|383.35|social
190|381.06|manera 
191|380.37|tener
192|378.93|sistema 
193|378.92|será
194|378.81|historia
195|377.05|muchos  
196|374.96|juan
197|371.04|tipo
198|370.8|cuatro
199|370.77|dentro
200|369.08|nuestro
201|368.77|punto
202|368.73|dice
203|365.55|ello
204|362.88|cualquier
205|362.35|noche 
206|358.95|aún 
207|358.56|agua 
208|357.59|parece 
209|354.94|haber
210|354.09|situación
211|353.82|fuera
212|349.0|bajo
213|343.22|grandes 
214|342.95|nuestra
215|339.56|ejemplo 
216|337.47|acuerdo 
217|330.34|habían
218|328.22|usted
219|326.52|estados 
220|325.99|hizo
221|325.7|nadie
222|324.1|países
223|323.73|horas
224|321.72|posible
225|320.94|tarde
226|320.82|ley
227|317.23|importante
228|317.19|guerra
229|317.11|desarrollo
230|315.05|proceso 
231|312.33|realidad
232|311.74|sentido
233|310.14|lado
234|309.7|mí
235|308.45|tu
236|306.85|cambio 
237|306.57|allí
238|305.83|mano 
239|303.92|eran
240|303.37|estar
241|301.55|san 
242|301.42|número 
243|301.35|sociedad 
244|298.67|unas 
245|297.95|centro
246|296.51|padre
247|296.5|gente
248|294.44|final
249|292.45|relación
250|291.49|cuerpo 
251|290.43|obra
252|290.28|incluso
253|289.8|través
254|288.97|último
255|286.42|madre 
256|285.55|mis 
257|284.99|modo 
258|283.79|problemas 
259|283.71|cinco
260|280.77|carlos
261|278.87|hombres 
262|278.07|información
263|277.73|ojos
264|277.53|muerte 
265|277.16|nombre 
266|276.76|algunas 
267|276.62|público
268|275.92|mujeres 
269|274.58|siglo
270|273.94|todavía
271|273.01|meses  
272|271.16|mañana  
273|269.95|esos 
274|267.89|nosotros
275|266.0|hora
276|265.9|muchas  
277|264.98|pueblo
278|264.85|alguna
279|264.79|dar
280|264.12|problema 
281|263.66|don 
282|263.44|da
283|262.97|tú
284|261.79|derecho 
285|261.69|verdad
286|260.96|maría
287|260.92|unidos
288|260.86|podría
289|260.43|sería
290|259.05|junto
291|258.59|cabeza 
292|258.11|aquel
293|258.06|luis
294|252.48|cuanto 
295|251.39|tierra
296|250.48|equipo
297|250.13|segundo 
298|249.71|director
299|249.57|dicho
300|248.94|cierto
301|247.74|casos 
302|247.35|manos  
303|245.27|nivel
304|245.17|podía
305|244.99|familia
306|244.59|largo
307|244.35|partir
308|243.81|falta
309|242.88|llegar
310|242.39|propio
311|238.18|ministro
312|237.72|cosa 
313|237.49|primero
314|236.32|seguridad
315|235.89|hemos  
316|235.73|mal 
317|234.29|trata
318|233.11|algún
319|232.63|tuvo
320|232.0|respecto
321|231.74|semana  
322|231.48|varios
323|230.87|real
324|230.42|sé
325|229.3|voz
326|228.9|paso 
327|228.79|señor
328|228.33|mil
329|227.73|quienes 
330|227.55|proyecto
331|227.3|mercado 
332|227.02|mayoría 
333|226.9|luz
334|226.72|claro
335|225.35|iba
336|225.08|éste
337|224.2|pesetas 
338|222.74|orden
339|222.34|español 
340|221.28|buena 
341|221.12|quiere
342|221.04|aquella
343|220.37|programa 
344|219.48|palabras
345|219.24|internacional
346|218.91|van
347|218.81|esas 
348|218.69|segunda 
349|218.28|empresa 
350|217.97|puesto 
351|217.93|ahí
352|217.28|propia
353|216.95|m 
354|216.67|libro
355|215.98|igual
356|215.83|político
357|214.71|persona 
358|214.27|últimos
359|213.91|ellas
360|213.28|total
361|213.05|creo
362|212.46|tengo
363|212.2|dios
364|212.01|c
365|210.67|española 
366|210.37|condiciones 
367|210.3|méxico 
368|210.29|fuerza
369|209.82|solo
370|209.74|único
371|208.37|acción
372|207.72|amor 
373|207.12|policía
374|206.49|puerta
375|206.05|pesar
376|205.59|zona 
377|205.54|sabe 
