ord	freq	form	x	x2
1	5559946	der	d	ART
2	5413634	und	und	KON
3	4893701	die	d	ART
4	3155511	in	in	APPR
5	2144351	den	d	ART
6	1988607	von	von	APPR
7	1796825	ist	sein	VAFIN
8	1656442	nicht	nicht	PTKNEG
9	1583353	mit	mit	APPR
10	1528523	sich	sich	PRF
11	1457741	zu	zu	PTKZU
12	1395976	des	d	ART
13	1321644	auf	auf	APPR
14	1287021	das	d	ART
15	1204036	im	im	APPRART
16	1200303	eine	ein	ART
17	1190783	es	es	PPER
18	1156579	ein	ein	ART
19	1141086	auch	auch	ADV
20	1124410	für	für	APPR
21	1070808	dem	d	ART
22	1055757	Die	d	ART
23	962841	sie	sie	PPER
24	936609	ich	ich	PPER
25	888880	als	als	KOKOM
26	879757	die	d	PRELS
27	727054	an	an	APPR
28	725666	er	er	PPER
29	706426	sind	sein	VAFIN
30	702175	zu	zu	APPR
31	691287	oder	oder	KON
32	686739	wird	werden	VAFIN
33	680208	dass	dass	KOUS
34	647179	so	so	ADV
35	614556	hat	haben	VAFIN
36	600341	bei	bei	APPR
37	592417	einer	ein	ART
38	586054	nur	nur	ADV
39	581040	noch	noch	ADV
40	578273	war	sein	VAFIN
41	559391	aus	aus	APPR
42	555210	nach	nach	APPR
43	550343	Sie	Sie	PPER
44	546127	man	man	PIS
45	528214	wir	wir	PPER
46	508077	einen	ein	ART
47	478936	Der	d	ART
48	478831	einem	ein	ART
49	474870	zum	zum	APPRART
50	458090	kann	können	VMFIN
51	450928	durch	durch	APPR
52	443894	werden	werden	VAINF
53	442926	zur	zur	APPRART
54	428700	über	über	APPR
55	401383	werden	werden	VAFIN
56	399469	am	am	APPRART
57	396822	wie	wie	KOKOM
58	389960	das	d	PDS
59	386539	wenn	wenn	KOUS
60	379693	daß	daß	KOUS
61	376378	haben	haben	VAFIN
62	373977	aber	aber	ADV
63	350727	um	um	APPR
64	349891	wurde	werden	VAFIN
65	349766	Ich	ich	PPER
66	344174	dann	dann	ADV
67	341435	vor	vor	APPR
68	332994	der	d	PRELS
69	314598	Es	es	PPER
70	312949	mehr	mehr	ADV
71	302871	wie	wie	KOUS
72	302058	Das	d	ART
73	287615	In	in	APPR
74	283224	immer	immer	ADV
75	281163	schon	schon	ADV
76	279040	wieder	wieder	ADV
77	275548	sein	sein	VAINF
78	274967	vom	vom	APPRART
79	273451	diese	dies	PDAT
80	272136	dieser	dies	PDAT
81	251410	hatte	haben	VAFIN
82	247361	sehr	sehr	ADV
83	244217	unter	unter	APPR
84	233155	ihre	ihr	PPOSAT
85	225006	hier	hier	ADV
86	222468	Und	und	KON
87	219312	um	um	KOUI
88	217395	mich	ich	PRF
89	217015	habe	haben	VAFIN
90	216661	keine	kein	PIAT
91	214858	mir	ich	PPER
92	214799	seine	sein	PPOSAT
93	210330	gibt	geben	VVFIN
94	210023	gegen	gegen	APPR
95	208133	eines	ein	ART
96	202764	was	was	PRELS
97	200055	Zeit	Zeit	NN
98	194334	Menschen	Mensch	NN
99	193250	aber	aber	KON
100	189070	Das	d	PDS
101	188850	Er	er	PPER
102	188692	sondern	sondern	KON
103	179634	waren	sein	VAFIN
104	179544	können	können	VMFIN
105	177107	diesem	dies	PDAT
106	173499	selbst	selbst	ADV
107	172716	Wir	wir	PPER
108	168123	Ein	ein	ART
109	168019	ihm	er	PPER
110	167791	seiner	sein	PPOSAT
111	167618	das	d	PRELS
112	164625	zwischen	zwischen	APPR
113	163972	wurden	werden	VAFIN
114	163427	Im	im	APPRART
115	160332	uns	wir	PRF
116	159753	alle	alle	PIAT
117	159751	ihn	er	PPER
118	157666	fÃ¼r	fÃ¼r	NN
119	157358	an	an	PTKVZ
120	156469	doch	doch	ADV
121	154911	bis	bis	KON
122	154692	weil	weil	KOUS
123	152197	also	also	ADV
124	151228	sei	sein	VAFIN
125	149306	ihrer	ihr	PPOSAT
126	147182	zwei	zwei	CARD
127	146849	Wenn	wenn	KOUS
128	144573	nun	nun	ADV
129	144289	da	da	ADV
130	142897	ganz	ganz	ADJD
131	141700	anderen	ander	ADJA
132	141508	Jahren	Jahr	NN
133	139818	jetzt	jetzt	ADV
134	139005	soll	sollen	VMFIN
135	135768	ohne	ohne	APPR
136	134691	dieses	dies	PDAT
137	132982	Jahre	Jahr	NN
138	132889	muss	müssen	VMFIN
139	132127	aus	aus	PTKVZ
140	130364	damit	damit	PAV
141	128136	heute	heute	ADV
142	127420	Eine	ein	ART
143	126941	mal	mal	ADV
144	126857	du	du	PPER
145	126303	geht	gehen	VVFIN
146	124552	So	so	ADV
147	124205	uns	wir	PPER
148	123118	sollte	sollen	VMFIN
149	122859	Auch	auch	ADV
150	122549	Aber	aber	KON
151	122217	ihren	ihr	PPOSAT
152	121187	neue	neu	ADJA
153	120681	beim	beim	APPRART
154	118778	will	wollen	VMFIN
155	118466	einmal	einmal	ADV
156	118309	gut	gut	ADJD
157	117570	seinen	sein	PPOSAT
158	117539	Mit	mit	APPR
159	116064	jedoch	jedoch	ADV
160	115408	alles	alle	PIS
161	115225	bereits	bereits	ADV
162	115194	ihr	ihr	PPOSAT
163	113784	ersten	erst	ADJA
164	113323	ja	ja	ADV
165	113284	wo	wo	PWAV
166	113012	diesen	dies	PDAT
167	112980	Welt	Welt	NN
168	112612	etwas	etwas	ADV
169	112499	Jahr	Jahr	NN
170	111604	auf	auf	PTKVZ
171	110591	Leben	Leben	NN
172	110530	ob	ob	KOUS
173	109896	dies	dies	PDS
174	109257	Deutschland	Deutschland	NE
175	108971	kein	kein	PIAT
176	108463	neuen	neu	ADJA
177	107487	sein	sein	PPOSAT
178	107200	sowie	sowie	KON
179	107023	dazu	dazu	PAV
180	106937	konnte	können	VMFIN
181	106405	denn	denn	KON
182	105515	seit	seit	APPR
183	105357	allem	alle	PIS
184	105327	als	als	KOUS
185	102500	kommt	kommen	VVFIN
186	102126	Was	was	PWS
187	101333	haben	haben	VAINF
188	100594	dabei	dabei	PAV
189	100094	nichts	nichts	PIS
190	99473	Bei	bei	APPR
191	98902	Diese	dies	PDAT
192	98575	Uhr	Uhr	NN
193	98165	bin	sein	VAFIN
194	98058	worden	werden	VAPP
195	97546	Frage	Frage	NN
196	97396	Nach	nach	APPR
197	95823	da	da	KOUS
198	95677	z.	z.	APPRART
199	95587	drei	drei	CARD
200	95107	seinem	sein	PPOSAT
201	94892	würde	werden	VAFIN
202	94552	erst	erst	ADJD
203	94527	bis	bis	APPR
204	93371	einfach	einfach	ADJD
205	93271	ihnen	sie	PPER
206	92813	Arbeit	Arbeit	NN
207	92681	ins	ins	APPRART
208	92168	Ende	Ende	NN
209	92160	machen	machen	VVINF
210	91865	etwa	etwa	ADV
211	91329	dort	dort	ADV
212	91042	meine	mein	PPOSAT
213	90779	andere	ander	ADJA
214	90469	hatten	haben	VAFIN
215	90349	Kinder	Kind	NN
216	90294	the	the	FM
217	89641	müssen	müssen	VMFIN
218	89618	wohl	wohl	ADV
219	89075	de	de	NE
220	88201	dem	d	PRELS
221	88146	wäre	sein	VAFIN
222	87570	viele	viel	PIDAT
223	87306	ihr	ihr	PPER
224	85634	of	of	FM
225	85231	Art	Art	NN
226	84260	Seite	Seite	NN
227	83948	Teil	Teil	NN
228	83794	steht	stehen	VVFIN
229	82245	zwar	zwar	ADV
230	82128	Auf	auf	APPR
231	81516	Frau	Frau	NN
232	80887	zu	zu	PTKA
233	80486	Für	für	APPR
234	80241	gar	gar	ADJD
235	79779	können	können	VMINF
236	79660	Du	du	PPER
237	79544	ab	ab	PTKVZ
238	78538	denen	d	PRELS
239	78507	darauf	darauf	PAV
240	78270	wirklich	wirklich	ADJD
241	78178	beiden	beide	PIDAT
242	78147	letzten	letzt	ADJA
243	77023	Man	man	PIS
244	76700	allen	alle	PIAT
245	76607	davon	davon	PAV
246	75862	macht	machen	VVFIN
247	75721	eigenen	eigen	ADJA
248	75448	Wie	wie	KOUS
249	75316	sogar	sogar	ADV
250	75277	welche	welch	PRELS
251	74722	unsere	unser	PPOSAT
252	74549	gab	geben	VVFIN
253	74532	Tag	Tag	NN
254	74236	sagte	sagen	VVFIN
255	72948	fast	fast	ADV
256	72712	Am	am	APPRART
257	72402	Fall	Fall	NN
258	71696	muß	müssen	VMFIN
259	71269	oft	oft	ADV
260	71268	vor	vor	PTKVZ
261	70908	mehr	mehr	PIAT
262	70633	kam	kommen	VVFIN
263	70598	wollen	wollen	VMFIN
264	70401	was	was	PWS
265	70117	viel	viel	ADV
266	69695	Frauen	Frau	NN
267	69498	Beispiel	Beispiel	NN
268	69377	Entwicklung	Entwicklung	NN
269	69304	allerdings	allerdings	ADV
270	69111	könnte	können	VMFIN
271	68908	ihrem	ihr	PPOSAT
272	68432	Weg	Weg	NN
273	68354	liegt	liegen	VVFIN
274	67830	Dies	dies	PDS
275	66528	Geschichte	Geschichte	NN
276	66416	gemacht	machen	VVPP
277	65946	dafür	dafür	PAV
278	65883	einige	einige	PIAT
279	65806	mein	mein	PPOSAT
280	65785	Von	von	APPR
281	65209	vielleicht	vielleicht	ADJD
282	65065	erste	erst	ADJA
283	64822	lassen	lassen	VVINF
284	64634	Mann	Mann	NN
285	64015	Stadt	Stadt	NN
286	63837	nie	nie	ADV
287	63772	werde	werden	VAFIN
288	63744	aller	alle	PIAT
289	63708	Da	da	ADV
290	63607	keinen	kein	PIAT
291	63525	Prozent	Prozent	NN
292	63355	besonders	besonders	ADV
293	63309	deutschen	deutsch	ADJA
294	63011	hätte	haben	VAFIN
295	62955	sollen	sollen	VMFIN
296	62775	Als	als	KOKOM
297	62033	Gesellschaft	Gesellschaft	NN
298	61918	sollten	sollen	VMFIN
299	61747	and	and	FM
300	61637	unserer	unser	PPOSAT
301	61589	zu	zu	PTKVZ
302	61576	Wer	wer	PWS
303	60987	weiter	weit	ADJD
304	60584	möglich	möglich	ADJD
305	60488	alle	alle	PIS
306	60094	eigentlich	eigentlich	ADV
307	60088	Land	Land	NN
308	60037	bzw.	bzw.	KOKOM
309	59597	wollte	wollen	VMFIN
310	59510	2004	@card@	CARD
311	59376	wegen	wegen	APPR
312	59115	weitere	weit	ADJA
313	58293	Berlin	Berlin	NE
314	58000	kaum	kaum	ADV
315	57802	Thema	Thema	NN
316	57512	besser	gut	ADJD
317	57283	ging	gehen	VVFIN
318	57207	diese	dies	PDS
319	56931	sagen	sagen	VVINF
320	56862	Hier	hier	ADV
321	56861	Dr.	Dr.	NN
322	56821	meiner	mein	PPOSAT
323	56813	Doch	doch	KON
324	56709	Weise	Weise	NN
325	56636	Leute	Leute	NN
326	56264	natürlich	natürlich	ADJD
327	56151	großen	groß	ADJA
328	56129	Euro	Euro	NN
329	55980	a	a	FM
330	55639	gewesen	sein	VAPP
331	55614	zurück	zurück	PTKVZ
332	55569	0	@card@	CARD
333	55512	tun	tun	VVINF
334	55462	genau	genau	ADJD
335	55306	sagt	sagen	VVFIN
336	55293	ein	ein	PTKVZ
337	55265	was	was	PIS
338	54633	vielen	viel	PIDAT
339	54631	eher	eher	ADV
340	54292	Form	Form	NN
341	54024	gilt	gelten	VVFIN
342	53403	später	spät	ADJD
343	53319	eben	eben	ADV
344	53226	weit	weit	ADJD
345	53159	Ihre	Ihr	PPOSAT
346	53136	ganze	ganz	ADJA
347	52667	sehen	sehen	VVINF
348	52511	bleibt	bleiben	VVFIN
349	52403	Geld	Geld	NN
350	51958	schnell	schnell	ADJD
351	51942	deutlich	deutlich	ADJD
352	51404	sieht	sehen	VVFIN
353	50978	Gott	Gott	NN
354	50964	deshalb	deshalb	PAV
355	50749	Fragen	Frage	NN
356	50736	Unternehmen	Unternehmen	NN
357	50504	Informationen	Information	NN
358	50499	große	groß	ADJA
359	50487	Dann	dann	ADV
360	50312	anderen	ander	PIS
361	50045	http	Http	NN
362	49526	ja	ja	PTKANT
363	49489	Ziel	Ziel	NN
364	49331	Regierung	Regierung	NN
365	49325	geben	geben	VVINF
366	49321	Artikel	Artikel	NN
367	49292	sicher	sicher	ADJD
368	49171	daher	daher	PAV
369	49074	allein	allein	ADV
370	48989	stehen	stehen	VVFIN
371	48698	Politik	Politik	NN
372	48561	vier	vier	CARD
373	48347	darf	dürfen	VMFIN
374	48205	Herr	Herr	NN
375	48078	lange	lange	ADV
376	47996	Bereich	Bereich	NN
377	47803	daran	daran	PAV
378	47716	oben	oben	ADV
379	47595	Millionen	Million	NN
380	47491	Grund	Grund	NN
381	47443	Problem	Problem	NN
382	47433	kleinen	klein	ADJA
383	47295	stellt	stellen	VVFIN
384	47277	zeigt	zeigen	VVFIN
385	47254	Anfang	Anfang	NN
386	47199	den	d	PRELS
387	47111	Ihnen	Sie	PPER
388	46996	2003	@card@	CARD
389	46808	viel	viel	PIAT
390	46326	findet	finden	VVFIN
391	46249	denn	denn	ADV
392	46221	Internet	Internet	NN
393	46195	gleich	gleich	ADJD
394	46194	andere	ander	PIS
395	46127	recht	recht	ADJD
396	45963	Zum	zum	APPRART
397	45856	Zukunft	Zukunft	NN
398	45821	solche	solch	PIDAT
399	45702	mir	ich	PRF
400	45701	klar	klar	ADJD
401	45566	jeder	jed	PIDAT
402	45563	jeden	jed	PIDAT
403	45560	Buch	Buch	NN
404	45401	doch	doch	KON
405	45223	besteht	bestehen	VVFIN
406	45188	Namen	Name	NN
407	45184	kommen	kommen	VVFIN
408	45042	Recht	Recht	NN
409	45013	Probleme	Problem	NN
410	44981	Bild	Bild	NN
411	44884	Bedeutung	Bedeutung	NN
412	44870	lassen	lassen	VVFIN
413	44689	wer	wer	PWS
414	44660	Hilfe	Hilfe	NN
415	44579	Denn	denn	KON
416	44546	Dabei	dabei	PAV
417	44491	Rolle	Rolle	NN
418	44370	konnten	können	VMFIN
419	44362	politischen	politisch	ADJA
420	44081	weniger	weniger	ADV
421	44068	gerade	gerade	ADJD
422	44054	bisher	bisher	ADV
423	43784	ebenfalls	ebenfalls	ADV
424	43701	Eltern	Eltern	NN
425	43533	Mensch	Mensch	NN
426	43440	eigene	eigen	ADJA
427	43396	Rahmen	Rahmen	NN
428	43382	paar	paar	PIDAT
429	43255	überhaupt	überhaupt	ADV
430	43206	möchte	mögen	VMFIN
431	43205	Kind	Kind	NN
432	43194	wenig	wenig	PIS
433	43156	alten	alt	ADJA
434	42950	daÃ	daÃ	VVFIN
435	42869	Hand	Hand	NN
436	42706	Tage	Tag	NN
437	42689	scheint	scheinen	VVFIN
438	42642	Augen	Auge	NN
439	42624	seien	sein	VAFIN
440	42531	gute	gut	ADJA
441	42461	Nur	nur	ADV
442	42396	Mutter	Mutter	NN
443	42349	verschiedenen	verschieden	ADJA
444	42319	kommen	kommen	VVINF
445	42307	weiß	wissen	VVFIN
446	42277	darüber	darüber	PAV
447	42271	Musik	Musik	NN
448	42229	finden	finden	VVINF
449	42220	deren	d	PRELAT
450	42074	neben	neben	APPR
451	42040	kleine	klein	ADJA
452	41881	2002	@card@	CARD
453	41842	geworden	werden	VAPP
454	41828	machen	machen	VVFIN
455	41729	richtig	richtig	ADJD
456	41504	u.	um	APPR
457	41327	Familie	Familie	NN
458	40864	innerhalb	innerhalb	APPR
459	40777	rund	rund	ADV
460	40754	Aus	aus	APPR
461	40486	ab	ab	APPR
462	40475	hinter	hinter	APPR
463	40457	anders	anders	ADV
464	40418	heißt	heißen	VVFIN
465	40227	Gruppe	Gruppe	NN
466	40155	unser	unser	PPOSAT
467	40138	Ihr	Ihr	PPOSAT
468	40075	Situation	Situation	NN
469	40057	September	September	NN
470	39706	/www	/www	NE
471	39674	Ã¼ber	Ã¼ber	VVFIN
472	39571	würden	werden	VAFIN
473	39555	finden	finden	VVFIN
474	39552	Europa	Europa	NE
475	39497	Als	als	KOUS
476	39461	meinen	mein	PPOSAT
477	39453	Personen	Person	NN
478	39393	seines	sein	PPOSAT
479	39351	kurz	kurz	ADJD
480	39166	Vater	Vater	NN
481	39152	ganzen	ganz	ADJA
482	39125	einer	ein	PIS
483	39103	Liebe	Liebe	NN
484	38988	gesagt	sagen	VVPP
485	38911	nächsten	nah	ADJA
486	38818	ebenso	ebenso	ADV
487	38796	Stelle	Stelle	NN
488	38793	Nicht	nicht	PTKNEG
489	38391	Platz	Platz	NN
490	38386	Oktober	Oktober	NN
491	38385	während	während	KOUS
492	38369	gegenüber	gegenüber	APPR
493	38331	deutsche	deutsch	ADJA
494	38291	insbesondere	insbesondere	ADV
495	38280	Nun	nun	ADV
496	38229	2001	@card@	CARD
497	38170	gehen	gehen	VVINF
498	37943	An	an	APPR
499	37909	Wort	Wort	NN
500	37825	nämlich	nämlich	ADJD
501	37751	damals	damals	ADV
502	37668	Lage	Lage	NN
503	37639	dich	du	PPER
504	37637	Blick	Blick	NN
505	37518	Kirche	Kirche	NN
506	37451	Sprache	Sprache	NN
507	37430	deren	d	PDAT
508	37404	Mai	Mai	NN
509	37337	Seiten	Seite	NN
510	37322	sah	sehen	VVFIN
511	37243	leicht	leicht	ADJD
512	37221	stark	stark	ADJD
513	37185	The	The	FM
514	37101	Haus	Haus	NN
515	37039	Zu	zu	APPR
516	36981	Schule	Schule	NN
517	36940	neu	neu	ADJD
518	36937	einzelnen	einzeln	ADJA
519	36891	meinem	mein	PPOSAT
520	36815	gegeben	geben	VVPP
521	36803	weiteren	weit	ADJA
522	36778	indem	indem	KOUS
523	36762	während	während	APPR
524	36655	gesehen	sehen	VVPP
525	36597	Möglichkeit	Möglichkeit	NN
526	36438	dadurch	dadurch	PAV
527	36407	weiter	weiter	PTKVZ
528	36401	Wasser	Wasser	NN
529	36371	sonst	sonst	ADV
530	36344	Um	um	APPR
531	36299	Mal	Mal	NN
532	36132	Stunden	Stunde	NN
533	36067	Krieg	Krieg	NN
534	36057	darin	darin	PAV
535	35983	mit	mit	PTKVZ
536	35909	sofort	sofort	ADV
537	35884	gerade	gerade	PTKVZ
538	35772	Durch	durch	APPR
539	35770	meisten	meist	PIDAT
540	35694	solchen	solch	PIDAT
541	35599	stand	stehen	VVFIN
542	35455	Ort	Ort	NN
543	35373	Dieser	dies	PDAT
544	35369	System	System	NN
545	35310	Da	da	KOUS
546	35208	Damit	damit	PAV
547	35173	Zusammenhang	Zusammenhang	NN
548	35141	ein.	ein.	NE
549	35085	Staat	Staat	NN
550	35065	politische	politisch	ADJA
551	34964	Sinne	Sinn	NN
552	34878	warum	warum	PWAV
553	34853	Wochen	Woche	NN
554	34842	Juni	Juni	NN
555	34831	zweiten	zweit	ADJA
556	34790	eine	ein	PIS
557	34570	Meinung	Meinung	NN
558	34551	Den	d	ART
559	34544	Also	also	ADV
560	34509	sowohl	sowohl	KON
561	34366	lässt	lassen	VVFIN
562	34349	Raum	Raum	NN
563	34339	direkt	direkt	ADJD
564	34277	damit	damit	KOUS
565	34234	Daten	Datum	NN
566	34062	zunächst	zunächst	ADV
567	34039	bald	bald	ADV
568	33827	Sache	Sache	NN
569	33738	bedeutet	bedeuten	VVFIN
570	33606	ca.	ca.	ADV
571	33512	schwer	schwer	ADJD
572	33346	einigen	einige	PIAT
573	33292	Ist	sein	VAFIN
574	33284	Zahl	Zahl	NN
575	33225	Vor	vor	APPR
576	33175	Spiel	Spiel	NN
577	33079	jede	jed	PIDAT
578	33045	wichtig	wichtig	ADJD
